Day.1.Run,Day.1.RunName,Day.1.WIND_DIRECTION,Day.1.RELEASE_ALT,Day.1.RELEASE_MASS,Day.1.MASS_MEAN_DIAMETER,Day.1.Fatalities,Day.2.Run,Day.2.RunName,Day.2.WIND_DIRECTION,Day.2.RELEASE_ALT,Day.2.RELEASE_MASS,Day.2.MASS_MEAN_DIAMETER,Day.2.Fatalities,Day.3.Run,Day.3.RunName,Day.3.WIND_DIRECTION,Day.3.RELEASE_ALT,Day.3.RELEASE_MASS,Day.3.MASS_MEAN_DIAMETER,Day.3.Fatalities
2813,Run_2813,240,180,1000,8.00E-05,5,3354,Run_3354,280,80,1000,1.00E-04,10,1426,Run_1426,160,200,1600,6.00E-05,48
3424,Run_3424,280,120,1000,6.00E-05,10,3144,Run_3144,260,160,1200,1.00E-04,10,3703,Run_3703,300,40,2000,1.00E-05,48
3460,Run_3460,280,140,1000,6.00E-05,10,2742,Run_2742,240,140,1000,1.00E-04,9,1016,Run_1016,140,180,1200,2.00E-05,45
3534,Run_3534,280,180,1000,1.00E-04,4,3064,Run_3064,260,120,1000,6.00E-05,10,837,Run_837,140,80,1200,4.00E-05,47
2819,Run_2819,240,180,1200,8.00E-05,10,3566,Run_3566,280,200,1000,2.00E-05,4,1792,Run_1792,180,200,1800,6.00E-05,44
2670,Run_2670,240,100,1000,1.00E-04,10,2493,Run_2493,220,200,1200,4.00E-05,12,1933,Run_1933,200,80,1800,1.00E-05,46
3219,Run_3219,260,200,1400,4.00E-05,10,3604,Run_3604,300,0,1000,6.00E-05,14,3235,Run_3235,260,200,2000,1.00E-05,42
3064,Run_3064,260,120,1000,6.00E-05,10,3325,Run_3325,280,40,1400,1.00E-05,20,1891,Run_1891,200,40,1600,1.00E-05,42
3567,Run_3567,280,200,1000,4.00E-05,4,3628,Run_3628,300,0,1800,6.00E-05,19,1938,Run_1938,200,80,1800,1.00E-04,41
2812,Run_2812,240,180,1000,6.00E-05,8,364,Run_364,120,0,1000,6.00E-05,16,445,Run_445,120,40,1400,1.00E-05,43
3569,Run_3569,280,200,1000,8.00E-05,3,3355,Run_3355,280,80,1200,1.00E-05,16,2006,Run_2006,200,120,1800,2.00E-05,42
3928,Run_3928,300,200,1000,6.00E-05,9,2601,Run_2601,240,40,1200,4.00E-05,20,1790,Run_1790,180,200,1800,2.00E-05,45
2489,Run_2489,220,200,1000,8.00E-05,6,1447,Run_1447,180,0,1200,1.00E-05,18,1639,Run_1639,180,120,1600,1.00E-05,50
3101,Run_3101,260,140,1000,8.00E-05,10,3243,Run_3243,280,0,1000,4.00E-05,12,3723,Run_3723,300,80,1400,4.00E-05,42
2994,Run_2994,260,80,1000,1.00E-04,9,3330,Run_3330,280,40,1400,1.00E-04,20,2120,Run_2120,200,180,2000,2.00E-05,41
3177,Run_3177,260,180,1200,4.00E-05,10,2843,Run_2843,240,180,2000,8.00E-05,25,1570,Run_1570,180,80,1600,6.00E-05,50
2742,Run_2742,240,140,1000,1.00E-04,9,2326,Run_2326,220,100,1600,6.00E-05,28,1722,Run_1722,180,160,1800,1.00E-04,48
2862,Run_2862,240,200,1400,1.00E-04,10,388,Run_388,120,0,1800,6.00E-05,27,1536,Run_1536,180,40,1600,1.00E-04,47
2487,Run_2487,220,200,1000,4.00E-05,6,2978,Run_2978,260,40,1800,2.00E-05,26,1598,Run_1598,180,100,1400,2.00E-05,46
3178,Run_3178,260,180,1200,6.00E-05,9,2188,Run_2188,220,0,1800,6.00E-05,22,1763,Run_1763,180,180,2000,8.00E-05,48
3218,Run_3218,260,200,1400,2.00E-05,10,2982,Run_2982,260,40,1800,1.00E-04,25,1383,Run_1383,160,180,1400,4.00E-05,47
2851,Run_2851,240,200,1200,1.00E-05,8,1553,Run_1553,180,80,1000,8.00E-05,28,3095,Run_3095,260,120,2000,8.00E-05,43
3535,Run_3535,280,180,1200,1.00E-05,10,2277,Run_2277,220,80,1200,4.00E-05,23,1972,Run_1972,200,100,1800,6.00E-05,42
2775,Run_2775,240,160,1000,4.00E-05,9,1841,Run_1841,200,20,1000,8.00E-05,24,1195,Run_1195,160,80,1200,1.00E-05,45
3537,Run_3537,280,180,1200,4.00E-05,10,2764,Run_2764,240,140,1800,6.00E-05,26,805,Run_805,140,40,1400,1.00E-05,46
3390,Run_3390,280,100,1000,1.00E-04,8,3513,Run_3513,280,160,1600,4.00E-05,30,1650,Run_1650,180,120,1800,1.00E-04,48
2850,Run_2850,240,200,1000,1.00E-04,3,2556,Run_2556,240,0,2000,1.00E-04,21,479,Run_479,120,80,1200,8.00E-05,43
3457,Run_3457,280,140,1000,1.00E-05,10,2368,Run_2368,220,120,1800,6.00E-05,30,1613,Run_1613,180,100,1800,8.00E-05,50
3574,Run_3574,280,200,1200,6.00E-05,8,3592,Run_3592,280,200,1800,6.00E-05,28,1614,Run_1614,180,100,1800,1.00E-04,48
2706,Run_2706,240,120,1000,1.00E-04,10,3346,Run_3346,280,40,2000,6.00E-05,27,3130,Run_3130,260,140,2000,6.00E-05,48
2495,Run_2495,220,200,1200,8.00E-05,10,2242,Run_2242,220,40,1200,6.00E-05,26,3698,Run_3698,300,40,1800,2.00E-05,41
3539,Run_3539,280,180,1200,8.00E-05,8,2611,Run_2611,240,40,1600,1.00E-05,26,902,Run_902,140,120,1000,2.00E-05,42
2846,Run_2846,240,200,1000,2.00E-05,4,1121,Run_1121,160,20,1000,8.00E-05,24,1239,Run_1239,160,100,1400,4.00E-05,50
3576,Run_3576,280,200,1200,1.00E-04,6,3196,Run_3196,260,180,1800,6.00E-05,28,3131,Run_3131,260,140,2000,8.00E-05,44
2852,Run_2852,240,200,1200,2.00E-05,8,1106,Run_1106,160,0,1800,2.00E-05,25,1384,Run_1384,160,180,1400,6.00E-05,46
3354,Run_3354,280,80,1000,1.00E-04,10,797,Run_797,140,40,1000,8.00E-05,32,1905,Run_1905,200,40,2000,4.00E-05,48
3211,Run_3211,260,200,1200,1.00E-05,7,2031,Run_2031,200,140,1400,4.00E-05,37,455,Run_455,120,40,1600,8.00E-05,46
3570,Run_3570,280,200,1000,1.00E-04,3,1010,Run_1010,140,180,1000,2.00E-05,32,1248,Run_1248,160,100,1600,1.00E-04,49
3496,Run_3496,280,160,1000,6.00E-05,8,1419,Run_1419,160,200,1400,4.00E-05,40,2005,Run_2005,200,120,1800,1.00E-05,42
3173,Run_3173,260,180,1000,8.00E-05,6,3157,Run_3157,260,160,1800,1.00E-05,34,835,Run_835,140,80,1200,1.00E-05,46
3529,Run_3529,280,180,1000,1.00E-05,6,3240,Run_3240,260,200,2000,1.00E-04,38,1898,Run_1898,200,40,1800,2.00E-05,46
3494,Run_3494,280,160,1000,2.00E-05,8,1924,Run_1924,200,80,1400,6.00E-05,38,109,Run_109,100,80,1000,1.00E-05,48
3389,Run_3389,280,100,1000,8.00E-05,9,1917,Run_1917,200,80,1200,4.00E-05,34,1908,Run_1908,200,40,2000,1.00E-04,46
3066,Run_3066,260,120,1000,1.00E-04,9,904,Run_904,140,120,1000,6.00E-05,40,3236,Run_3236,260,200,2000,2.00E-05,44
3171,Run_3171,260,180,1000,4.00E-05,6,1333,Run_1333,160,160,1000,1.00E-05,36,1725,Run_1725,180,160,2000,4.00E-05,54
2486,Run_2486,220,200,1000,2.00E-05,6,3702,Run_3702,300,40,1800,1.00E-04,36,1568,Run_1568,180,80,1600,2.00E-05,52
3462,Run_3462,280,140,1000,1.00E-04,8,3477,Run_3477,280,140,1600,4.00E-05,34,1317,Run_1317,160,140,1600,4.00E-05,58
3170,Run_3170,260,180,1000,2.00E-05,6,1915,Run_1915,200,80,1200,1.00E-05,34,944,Run_944,140,140,1200,2.00E-05,56
2453,Run_2453,220,180,1000,8.00E-05,8,2253,Run_2253,220,40,1600,4.00E-05,32,3128,Run_3128,260,140,2000,2.00E-05,51
3575,Run_3575,280,200,1200,8.00E-05,7,2267,Run_2267,220,40,2000,8.00E-05,36,1762,Run_1762,180,180,2000,6.00E-05,52
3210,Run_3210,260,200,1000,1.00E-04,4,1154,Run_1154,160,40,1000,2.00E-05,32,907,Run_907,140,120,1200,1.00E-05,59
3136,Run_3136,260,160,1000,6.00E-05,8,1952,Run_1952,200,100,1200,2.00E-05,36,872,Run_872,140,100,1200,2.00E-05,56
2811,Run_2811,240,180,1000,4.00E-05,8,1858,Run_1858,200,20,1600,6.00E-05,31,3865,Run_3865,300,160,1400,1.00E-05,60
3540,Run_3540,280,180,1200,1.00E-04,8,1967,Run_1967,200,100,1600,8.00E-05,38,1290,Run_1290,160,120,1800,1.00E-04,54
3497,Run_3497,280,160,1000,8.00E-05,7,2373,Run_2373,220,120,2000,4.00E-05,34,1723,Run_1723,180,160,2000,1.00E-05,54
3571,Run_3571,280,200,1200,1.00E-05,7,1888,Run_1888,200,40,1400,6.00E-05,38,841,Run_841,140,80,1400,1.00E-05,60
2774,Run_2774,240,160,1000,2.00E-05,10,1137,Run_1137,160,20,1600,4.00E-05,34,982,Run_982,140,160,1200,6.00E-05,53
3498,Run_3498,280,160,1000,1.00E-04,6,652,Run_652,120,180,1000,6.00E-05,39,3796,Run_3796,300,120,1400,6.00E-05,56
2496,Run_2496,220,200,1200,1.00E-04,10,1503,Run_1503,180,20,1800,4.00E-05,38,1610,Run_1610,180,100,1800,2.00E-05,53
3353,Run_3353,280,80,1000,8.00E-05,10,2266,Run_2266,220,40,2000,6.00E-05,36,1439,Run_1439,160,200,2000,8.00E-05,55
2848,Run_2848,240,200,1000,6.00E-05,4,431,Run_431,120,20,2000,8.00E-05,40,1180,Run_1180,160,40,1800,6.00E-05,58
2485,Run_2485,220,200,1000,1.00E-05,6,781,Run_781,140,20,1800,1.00E-05,38,1440,Run_1440,160,200,2000,1.00E-04,53
3175,Run_3175,260,180,1200,1.00E-05,10,1190,Run_1190,160,80,1000,2.00E-05,36,3870,Run_3870,300,160,1400,1.00E-04,54
3174,Run_3174,260,180,1000,1.00E-04,5,1265,Run_1265,160,120,1000,8.00E-05,38,1615,Run_1615,180,100,2000,1.00E-05,56
3566,Run_3566,280,200,1000,2.00E-05,4,1868,Run_1868,200,20,2000,2.00E-05,38,3834,Run_3834,300,140,1400,1.00E-04,54
3030,Run_3030,260,100,1000,1.00E-04,8,2010,Run_2010,200,120,1800,1.00E-04,39,1208,Run_1208,160,80,1600,2.00E-05,57
3221,Run_3221,260,200,1400,8.00E-05,10,1954,Run_1954,200,100,1200,6.00E-05,33,1360,Run_1360,160,160,1800,6.00E-05,60
3102,Run_3102,260,140,1000,1.00E-04,8,1523,Run_1523,180,40,1200,8.00E-05,36,1286,Run_1286,160,120,1800,2.00E-05,60
3135,Run_3135,260,160,1000,4.00E-05,8,1884,Run_1884,200,40,1200,1.00E-04,32,1285,Run_1285,160,120,1800,1.00E-05,60
3144,Run_3144,260,160,1200,1.00E-04,10,1704,Run_1704,180,160,1200,1.00E-04,35,1719,Run_1719,180,160,1800,4.00E-05,52
2809,Run_2809,240,180,1000,1.00E-05,7,1869,Run_1869,200,20,2000,4.00E-05,38,1326,Run_1326,160,140,1800,1.00E-04,56
3222,Run_3222,260,200,1400,1.00E-04,10,2066,Run_2066,200,160,1400,2.00E-05,35,1352,Run_1352,160,160,1600,2.00E-05,56
3536,Run_3536,280,180,1200,2.00E-05,10,1863,Run_1863,200,20,1800,4.00E-05,34,1437,Run_1437,160,200,2000,4.00E-05,59
3098,Run_3098,260,140,1000,2.00E-05,10,3441,Run_3441,280,120,1600,4.00E-05,32,478,Run_478,120,80,1200,6.00E-05,58
3028,Run_3028,260,100,1000,6.00E-05,10,2323,Run_2323,220,100,1600,1.00E-05,31,3200,Run_3200,260,180,2000,2.00E-05,52
2490,Run_2490,220,200,1000,1.00E-04,5,1009,Run_1009,140,180,1000,1.00E-05,32,1681,Run_1681,180,140,1800,1.00E-05,52
3214,Run_3214,260,200,1200,6.00E-05,7,2407,Run_2407,220,140,2000,1.00E-05,34,91,Run_91,100,40,1600,1.00E-05,54
3572,Run_3572,280,200,1200,2.00E-05,8,2695,Run_2695,240,100,2000,1.00E-05,31,1211,Run_1211,160,80,1600,8.00E-05,52
2849,Run_2849,240,200,1000,8.00E-05,4,1522,Run_1522,180,40,1200,6.00E-05,36,1059,Run_1059,140,200,1400,4.00E-05,54
3530,Run_3530,280,180,1000,2.00E-05,6,1860,Run_1860,200,20,1600,1.00E-04,32,1616,Run_1616,180,100,2000,2.00E-05,56
2634,Run_2634,240,80,1000,1.00E-04,10,1502,Run_1502,180,20,1800,2.00E-05,39,874,Run_874,140,100,1200,6.00E-05,52
3212,Run_3212,260,200,1200,2.00E-05,7,2768,Run_2768,240,140,2000,2.00E-05,32,505,Run_505,120,100,1000,1.00E-05,52
2776,Run_2776,240,160,1000,6.00E-05,8,830,Run_830,140,80,1000,2.00E-05,37,1543,Run_1543,180,40,2000,1.00E-05,60
3532,Run_3532,280,180,1000,6.00E-05,6,1745,Run_1745,180,180,1400,8.00E-05,39,458,Run_458,120,40,1800,2.00E-05,58
2993,Run_2993,260,80,1000,8.00E-05,10,2252,Run_2252,220,40,1600,2.00E-05,32,1687,Run_1687,180,140,2000,1.00E-05,54
3531,Run_3531,280,180,1000,4.00E-05,6,2263,Run_2263,220,40,2000,1.00E-05,38,979,Run_979,140,160,1200,1.00E-05,53
3137,Run_3137,260,160,1000,8.00E-05,8,2303,Run_2303,220,80,2000,8.00E-05,34,1545,Run_1545,180,40,2000,4.00E-05,60
2854,Run_2854,240,200,1200,6.00E-05,8,79,Run_79,100,40,1200,1.00E-05,37,1609,Run_1609,180,100,1800,1.00E-05,52
2820,Run_2820,240,180,1200,1.00E-04,10,1498,Run_1498,180,20,1600,6.00E-05,34,1060,Run_1060,140,200,1400,6.00E-05,52
3176,Run_3176,260,180,1200,2.00E-05,10,1601,Run_1601,180,100,1400,8.00E-05,40,1243,Run_1243,160,100,1600,1.00E-05,58
3206,Run_3206,260,200,1000,2.00E-05,4,1957,Run_1957,200,100,1400,1.00E-05,38,1653,Run_1653,180,120,2000,4.00E-05,55
3425,Run_3425,280,120,1000,8.00E-05,10,1144,Run_1144,160,20,1800,6.00E-05,38,3456,Run_3456,280,120,2000,1.00E-04,56
3929,Run_3929,300,200,1000,8.00E-05,8,80,Run_80,100,40,1200,2.00E-05,37,1726,Run_1726,180,160,2000,6.00E-05,54
3426,Run_3426,280,120,1000,1.00E-04,9,3384,Run_3384,280,80,2000,1.00E-04,31,1355,Run_1355,160,160,1600,8.00E-05,54
3568,Run_3568,280,200,1000,6.00E-05,4,1992,Run_1992,200,120,1200,1.00E-04,32,1260,Run_1260,160,100,2000,1.00E-04,56
3926,Run_3926,300,200,1000,2.00E-05,8,1887,Run_1887,200,40,1400,4.00E-05,38,1345,Run_1345,160,160,1400,1.00E-05,51
2810,Run_2810,240,180,1000,2.00E-05,8,1490,Run_1490,180,20,1400,2.00E-05,31,1654,Run_1654,180,120,2000,6.00E-05,54
3100,Run_3100,260,140,1000,6.00E-05,10,906,Run_906,140,120,1000,1.00E-04,37,1537,Run_1537,180,40,1800,1.00E-05,56
2488,Run_2488,220,200,1000,6.00E-05,6,3412,Run_3412,280,100,1800,6.00E-05,32,457,Run_457,120,40,1800,1.00E-05,58
3065,Run_3065,260,120,1000,8.00E-05,10,3375,Run_3375,280,80,1800,4.00E-05,32,912,Run_912,140,120,1200,1.00E-04,52
3152,Run_3152,260,160,1600,2.00E-05,20,769,Run_769,140,20,1400,1.00E-05,32,94,Run_94,100,40,1600,6.00E-05,52
2935,Run_2935,260,20,1600,1.00E-05,20,1931,Run_1931,200,80,1600,8.00E-05,40,1583,Run_1583,180,80,2000,8.00E-05,54
3190,Run_3190,260,180,1600,6.00E-05,17,1504,Run_1504,180,20,1800,6.00E-05,38,1603,Run_1603,180,100,1600,1.00E-05,52
730,Run_730,140,0,1200,6.00E-05,19,2118,Run_2118,200,180,1800,1.00E-04,36,1332,Run_1332,160,140,2000,1.00E-04,60
3297,Run_3297,280,20,1600,4.00E-05,20,3382,Run_3382,280,80,2000,6.00E-05,35,1250,Run_1250,160,100,1800,2.00E-05,60
2961,Run_2961,260,40,1200,4.00E-05,20,2071,Run_2071,200,160,1600,1.00E-05,40,1362,Run_1362,160,160,1800,1.00E-04,56
2955,Run_2955,260,40,1000,4.00E-05,17,1659,Run_1659,180,140,1000,4.00E-05,36,1309,Run_1309,160,140,1400,1.00E-05,52
3189,Run_3189,260,180,1600,4.00E-05,18,1700,Run_1700,180,160,1200,2.00E-05,40,1617,Run_1617,180,100,2000,4.00E-05,55
365,Run_365,120,0,1000,8.00E-05,16,1160,Run_1160,160,40,1200,2.00E-05,38,820,Run_820,140,40,1800,6.00E-05,58
1815,Run_1815,200,0,1400,4.00E-05,20,2032,Run_2032,200,140,1400,6.00E-05,36,1361,Run_1361,160,160,1800,8.00E-05,58
2682,Run_2682,240,100,1400,1.00E-04,16,3450,Run_3450,280,120,1800,1.00E-04,31,1245,Run_1245,160,100,1600,4.00E-05,56
2270,Run_2270,220,80,1000,2.00E-05,19,776,Run_776,140,20,1600,2.00E-05,34,1435,Run_1435,160,200,2000,1.00E-05,60
3076,Run_3076,260,120,1400,6.00E-05,18,1866,Run_1866,200,20,1800,1.00E-04,34,1581,Run_1581,180,80,2000,4.00E-05,59
2602,Run_2602,240,40,1200,6.00E-05,20,2480,Run_2480,220,180,2000,2.00E-05,31,1432,Run_1432,160,200,1800,6.00E-05,51
6,Run_6,100,0,1000,1.00E-04,16,2411,Run_2411,220,140,2000,8.00E-05,32,1404,Run_1404,160,180,2000,1.00E-04,58
2998,Run_2998,260,80,1200,6.00E-05,14,2265,Run_2265,220,40,2000,4.00E-05,38,3492,Run_3492,280,140,2000,1.00E-04,58
3156,Run_3156,260,160,1600,1.00E-04,16,942,Run_942,140,140,1000,1.00E-04,37,1582,Run_1582,180,80,2000,6.00E-05,56
3120,Run_3120,260,140,1600,1.00E-04,17,2731,Run_2731,240,120,2000,1.00E-05,32,1319,Run_1319,160,140,1600,8.00E-05,55
3318,Run_3318,280,40,1000,1.00E-04,17,84,Run_84,100,40,1200,1.00E-04,36,1655,Run_1655,180,120,2000,8.00E-05,52
3250,Run_3250,280,0,1200,6.00E-05,14,2410,Run_2410,220,140,2000,6.00E-05,33,1547,Run_1547,180,40,2000,8.00E-05,58
2449,Run_2449,220,180,1000,1.00E-05,12,1163,Run_1163,160,40,1200,8.00E-05,36,3737,Run_3737,300,80,1800,8.00E-05,56
3038,Run_3038,260,100,1400,2.00E-05,18,3442,Run_3442,280,120,1600,6.00E-05,31,947,Run_947,140,140,1200,8.00E-05,54
3579,Run_3579,280,200,1400,4.00E-05,14,1922,Run_1922,200,80,1400,2.00E-05,40,1284,Run_1284,160,120,1600,1.00E-04,52
2999,Run_2999,260,80,1200,8.00E-05,12,2102,Run_2102,200,180,1400,2.00E-05,32,1188,Run_1188,160,40,2000,1.00E-04,60
2959,Run_2959,260,40,1200,1.00E-05,19,3726,Run_3726,300,80,1400,1.00E-04,31,1254,Run_1254,160,100,1800,1.00E-04,54
2894,Run_2894,260,0,1400,2.00E-05,14,2444,Run_2444,220,160,2000,2.00E-05,32,1318,Run_1318,160,140,1600,6.00E-05,57
2269,Run_2269,220,80,1000,1.00E-05,19,3761,Run_3761,300,100,1400,8.00E-05,40,1275,Run_1275,160,120,1400,4.00E-05,51
2541,Run_2541,240,0,1600,4.00E-05,18,2144,Run_2144,200,200,1600,2.00E-05,33,1394,Run_1394,160,180,1800,2.00E-05,59
2173,Run_2173,220,0,1400,1.00E-05,18,1622,Run_1622,180,120,1000,2.00E-05,36,452,Run_452,120,40,1600,2.00E-05,51
3072,Run_3072,260,120,1200,1.00E-04,12,3725,Run_3725,300,80,1400,8.00E-05,36,1061,Run_1061,140,200,1400,8.00E-05,55
2466,Run_2466,220,180,1400,1.00E-04,19,3941,Run_3941,300,200,1400,8.00E-05,40,980,Run_980,140,160,1200,2.00E-05,54
3615,Run_3615,300,0,1400,4.00E-05,16,417,Run_417,120,20,1600,4.00E-05,33,1289,Run_1289,160,120,1800,8.00E-05,56
3624,Run_3624,300,0,1600,1.00E-04,18,1889,Run_1889,200,40,1400,8.00E-05,36,1727,Run_1727,180,160,2000,8.00E-05,51
2702,Run_2702,240,120,1000,2.00E-05,14,3863,Run_3863,300,160,1200,8.00E-05,36,1247,Run_1247,160,100,1600,8.00E-05,51
2779,Run_2779,240,160,1200,1.00E-05,14,1012,Run_1012,140,180,1000,6.00E-05,32,3794,Run_3794,300,120,1400,2.00E-05,60
2164,Run_2164,220,0,1000,6.00E-05,16,1961,Run_1961,200,100,1400,8.00E-05,34,1187,Run_1187,160,40,2000,8.00E-05,60
2645,Run_2645,240,80,1400,8.00E-05,19,3121,Run_3121,260,140,1800,1.00E-05,33,3793,Run_3793,300,120,1400,1.00E-05,56
2527,Run_2527,240,0,1200,1.00E-05,14,2437,Run_2437,220,160,1800,1.00E-05,31,3868,Run_3868,300,160,1400,6.00E-05,56
3501,Run_3501,280,160,1200,4.00E-05,14,2072,Run_2072,200,160,1600,2.00E-05,38,818,Run_818,140,40,1800,2.00E-05,60
2563,Run_2563,240,20,1200,1.00E-05,18,326,Run_326,100,200,1000,2.00E-05,32,1202,Run_1202,160,80,1400,2.00E-05,53
3111,Run_3111,260,140,1400,4.00E-05,18,2034,Run_2034,200,140,1400,1.00E-04,34,1259,Run_1259,160,100,2000,8.00E-05,58
2919,Run_2919,260,20,1000,4.00E-05,16,2146,Run_2146,200,200,1600,6.00E-05,32,1315,Run_1315,160,140,1600,1.00E-05,58
2884,Run_2884,260,0,1000,6.00E-05,12,1515,Run_1515,180,40,1000,4.00E-05,32,1181,Run_1181,160,40,1800,8.00E-05,56
2554,Run_2554,240,0,2000,6.00E-05,20,3940,Run_3940,300,200,1400,6.00E-05,38,1312,Run_1312,160,140,1400,6.00E-05,51
3330,Run_3330,280,40,1400,1.00E-04,20,2040,Run_2040,200,140,1600,1.00E-04,36,1057,Run_1057,140,200,1400,1.00E-05,56
3249,Run_3249,280,0,1200,4.00E-05,14,1632,Run_1632,180,120,1200,1.00E-04,38,3902,Run_3902,300,180,1400,2.00E-05,52
3118,Run_3118,260,140,1600,6.00E-05,20,941,Run_941,140,140,1000,8.00E-05,40,909,Run_909,140,120,1200,4.00E-05,59
2170,Run_2170,220,0,1200,6.00E-05,17,839,Run_839,140,80,1200,8.00E-05,40,1684,Run_1684,180,140,1800,6.00E-05,51
2997,Run_2997,260,80,1200,4.00E-05,15,2155,Run_2155,200,200,2000,1.00E-05,38,3833,Run_3833,300,140,1400,8.00E-05,58
3254,Run_3254,280,0,1400,2.00E-05,14,3161,Run_3161,260,160,1800,8.00E-05,31,1618,Run_1618,180,100,2000,6.00E-05,52
12,Run_12,100,0,1200,1.00E-04,20,2070,Run_2070,200,160,1400,1.00E-04,32,910,Run_910,140,120,1200,6.00E-05,57
1405,Run_1405,160,200,1000,1.00E-05,18,1155,Run_1155,160,40,1000,4.00E-05,32,110,Run_110,100,80,1000,2.00E-05,59
3610,Run_3610,300,0,1200,6.00E-05,15,1960,Run_1960,200,100,1400,6.00E-05,35,3831,Run_3831,300,140,1400,4.00E-05,60
3034,Run_3034,260,100,1200,6.00E-05,14,3449,Run_3449,280,120,1800,8.00E-05,37,1323,Run_1323,160,140,1800,4.00E-05,60
2669,Run_2669,240,100,1000,8.00E-05,11,1998,Run_1998,200,120,1400,1.00E-04,34,1683,Run_1683,180,140,1800,4.00E-05,52
2921,Run_2921,260,20,1000,8.00E-05,16,2251,Run_2251,220,40,1600,1.00E-05,32,111,Run_111,100,80,1000,4.00E-05,52
3427,Run_3427,280,120,1200,1.00E-05,18,1895,Run_1895,200,40,1600,8.00E-05,40,1431,Run_1431,160,200,1800,4.00E-05,52
3256,Run_3256,280,0,1400,6.00E-05,16,1625,Run_1625,180,120,1000,8.00E-05,34,1179,Run_1179,160,40,1800,4.00E-05,58
2857,Run_2857,240,200,1400,1.00E-05,14,2026,Run_2026,200,140,1200,6.00E-05,33,1217,Run_1217,160,80,1800,8.00E-05,58
2540,Run_2540,240,0,1600,2.00E-05,17,1872,Run_1872,200,20,2000,1.00E-04,38,1580,Run_1580,180,80,2000,2.00E-05,60
3143,Run_3143,260,160,1200,8.00E-05,11,2029,Run_2029,200,140,1400,1.00E-05,38,911,Run_911,140,120,1200,8.00E-05,54
735,Run_735,140,0,1400,4.00E-05,20,3511,Run_3511,280,160,1600,1.00E-05,32,1574,Run_1574,180,80,1800,2.00E-05,56
3893,Run_3893,300,180,1000,8.00E-05,14,2087,Run_2087,200,160,2000,8.00E-05,40,1281,Run_1281,160,120,1600,4.00E-05,57
2499,Run_2499,220,200,1400,4.00E-05,18,1139,Run_1139,160,20,1600,8.00E-05,34,1324,Run_1324,160,140,1800,6.00E-05,60
